iter	Passed	Remaining
416	2488	3479
417	2494	3473
418	2499	3465
419	2504	3458
420	2509	3451
421	2514	3443
422	2518	3435
423	2524	3429
424	2528	3420
425	2532	3412
426	2538	3406
427	2543	3399
428	2548	3391
429	2554	3385
430	2559	3379
431	2564	3371
432	2570	3366
433	2575	3359
434	2580	3352
435	2586	3345
436	2590	3337
437	2595	3330
438	2601	3323
439	2607	3318
440	2611	3310
441	2617	3304
442	2621	3296
443	2626	3288
444	2630	3280
445	2637	3275
446	2641	3267
447	2645	3259
448	2651	3254
449	2655	3246
450	2660	3238
451	2666	3233
452	2672	3226
453	2676	3219
454	2682	3212
455	2687	3206
456	2692	3199
457	2698	3192
458	2703	3186
459	2709	3180
460	2714	3173
461	2718	3165
462	2724	3159
463	2728	3151
464	2733	3145
465	2739	3139
466	2745	3133
467	2749	3125
468	2754	3118
469	2760	3112
470	2765	3106
471	2770	3098
472	2774	3090
473	2779	3084
474	2784	3077
475	2788	3069
476	2792	3062
477	2798	3056
478	2803	3049
479	2808	3042
480	2815	3037
481	2820	3030
482	2825	3023
483	2829	3017
484	2835	3010
485	2839	3003
486	2845	2997
487	2850	2991
488	2855	2984
489	2861	2978
490	2866	2971
491	2870	2963
492	2874	2956
493	2880	2950
494	2885	2943
495	2890	2936
496	2895	2930
497	2900	2923
498	2906	2917
499	2911	2911
500	2916	2904
501	2920	2897
502	2926	2891
503	2930	2884
504	2935	2877
505	2941	2871
506	2945	2864
507	2950	2857
508	2956	2852
509	2961	2845
510	2965	2838
511	2971	2832
512	2976	2825
513	2981	2818
514	2985	2811
515	2991	2806
516	2996	2799
517	3001	2792
518	3006	2786
519	3011	2779
520	3016	2773
521	3020	2766
522	3026	2760
523	3030	2752
524	3036	2746
525	3041	2740
526	3046	2734
527	3051	2727
528	3056	2721
529	3060	2714
530	3065	2707
531	3071	2702
532	3076	2695
533	3080	2688
534	3085	2681
535	3090	2675
536	3095	2669
537	3100	2662
538	3106	2656
539	3111	2650
540	3116	2643
541	3122	2638
542	3126	2631
543	3130	2623
544	3136	2618
545	3141	2612
546	3145	2605
547	3152	2599
548	3156	2592
549	3160	2585
550	3165	2579
551	3170	2573
552	3176	2567
553	3180	2560
554	3187	2555
555	3191	2548
556	3196	2542
557	3204	2538
558	3209	2531
559	3214	2525
560	3221	2520
561	3226	2514
562	3231	2508
563	3236	2502
564	3242	2496
565	3249	2491
566	3254	2485
567	3259	2478
568	3265	2473
569	3270	2466
570	3274	2460
571	3279	2454
572	3284	2447
573	3289	2441
574	3293	2434
575	3299	2429
576	3304	2422
577	3308	2415
578	3315	2410
579	3321	2405
580	3326	2398
581	3332	2393
582	3337	2387
583	3341	2380
584	3347	2374
585	3352	2368
586	3356	2361
587	3361	2355
588	3366	2348
589	3370	2342
590	3375	2336
591	3380	2329
592	3384	2323
593	3389	2316
594	3395	2311
595	3400	2304
596	3404	2298
597	3411	2293
598	3417	2287
599	3423	2282
600	3428	2276
601	3433	2269
602	3437	2263
603	3444	2258
604	3448	2251
605	3453	2245
606	3459	2239
607	3464	2233
608	3468	2226
609	3474	2221
610	3478	2214
611	3483	2208
612	3488	2202
613	3493	2196
614	3498	2189
615	3502	2183
616	3508	2177
617	3512	2171
618	3518	2165
619	3524	2160
620	3530	2154
621	3534	2147
622	3540	2142
623	3545	2136
624	3549	2129
625	3556	2124
626	3560	2118
627	3566	2112
628	3571	2106
629	3576	2100
630	3581	2094
631	3587	2088
632	3591	2082
633	3598	2077
634	3604	2071
635	3608	2065
636	3613	2059
637	3618	2053
638	3623	2047
639	3629	2041
640	3633	2035
641	3639	2029
642	3645	2023
643	3650	2017
644	3655	2012
645	3660	2005
646	3664	1999
647	3670	1993
648	3675	1987
649	3679	1981
650	3685	1975
651	3690	1969
652	3695	1963
653	3700	1957
654	3705	1951
655	3710	1945
656	3715	1939
657	3720	1933
658	3727	1928
659	3733	1923
660	3738	1917
661	3744	1912
662	3751	1906
663	3756	1900
664	3760	1894
665	3766	1889
666	3771	1882
667	3775	1876
668	3782	1871
669	3786	1865
670	3791	1858
671	3797	1853
672	3802	1847
673	3808	1841
674	3814	1836
675	3819	1830
676	3823	1824
677	3828	1818
678	3834	1812
679	3839	1806
680	3845	1801
681	3850	1795
682	3855	1789
683	3860	1783
684	3865	1777
685	3870	1771
686	3876	1766
687	3882	1760
688	3886	1754
689	3890	1748
690	3896	1742
691	3902	1736
692	3905	1730
693	3911	1724
694	3917	1719
695	3922	1713
696	3928	1707
697	3932	1701
698	3936	1695
699	3943	1689
700	3948	1684
701	3953	1678
702	3960	1673
703	3965	1667
704	3970	1661
705	3975	1655
706	3980	1649
707	3985	1643
708	3991	1638
709	4002	1634
710	4011	1630
711	4017	1624
712	4023	1619
713	4028	1613
714	4033	1607
715	4039	1602
716	4044	1596
717	4049	1590
718	4053	1584
719	4059	1578
720	4064	1572
721	4069	1567
722	4075	1561
723	4079	1555
724	4083	1549
725	4090	1543
726	4095	1537
727	4099	1531
728	4105	1526
729	4109	1520
730	4115	1514
731	4121	1509
732	4126	1502
733	4131	1497
734	4137	1491
735	4142	1485
736	4146	1479
737	4153	1474
738	4158	1468
739	4162	1462
740	4168	1456
741	4174	1451
742	4178	1445
743	4184	1439
744	4188	1433
745	4193	1427
746	4198	1422
747	4204	1416
748	4210	1410
749	4216	1405
750	4220	1399
751	4225	1393
752	4231	1387
753	4235	1381
754	4240	1375
755	4246	1370
756	4251	1364
757	4257	1359
758	4263	1353
759	4268	1347
760	4273	1342
761	4279	1336
762	4284	1330
763	4289	1325
764	4295	1319
765	4300	1313
766	4306	1308
767	4311	1302
768	4316	1296
769	4321	1290
770	4326	1285
771	4332	1279
772	4337	1273
773	4343	1268
774	4348	1262
775	4353	1256
776	4357	1250
777	4363	1245
778	4368	1239
779	4372	1233
780	4380	1228
781	4385	1222
782	4391	1217
783	4397	1211
784	4402	1205
785	4406	1199
786	4412	1194
787	4417	1188
788	4421	1182
789	4426	1176
790	4432	1171
791	4436	1165
792	4442	1159
793	4448	1154
794	4453	1148
795	4458	1142
796	4464	1137
797	4468	1131
798	4473	1125
799	4478	1119
800	4484	1114
801	4489	1108
802	4495	1102
803	4500	1097
804	4505	1091
805	4512	1086
806	4516	1080
807	4521	1074
808	4526	1068
809	4531	1062
810	4535	1056
811	4541	1051
812	4545	1045
813	4550	1039
814	4556	1034
815	4560	1028
816	4564	1022
817	4570	1016
818	4576	1011
819	4580	1005
820	4585	999
821	4592	994
822	4596	988
823	4602	983
824	4607	977
825	4612	971
826	4618	966
827	4623	960
828	4628	954
829	4633	949
830	4639	943
831	4644	937
832	4649	932
833	4654	926
834	4659	920
835	4663	914
836	4668	909
837	4673	903
838	4678	897
839	4683	892
840	4688	886
841	4694	880
842	4700	875
843	4705	869
844	4709	863
845	4714	858
846	4719	852
847	4724	846
848	4728	840
849	4735	835
850	4740	829
851	4745	824
852	4752	818
853	4757	813
854	4761	807
855	4769	802
856	4773	796
857	4780	791
858	4785	785
859	4790	779
860	4798	774
861	4805	769
862	4811	763
863	4816	758
864	4821	752
865	4826	746
866	4831	741
867	4836	735
868	4841	729
869	4847	724
870	4851	718
871	4855	712
872	4861	707
873	4866	701
874	4870	695
875	4877	690
876	4882	684
877	4887	679
878	4893	673
879	4898	667
880	4903	662
881	4909	656
882	4915	651
883	4919	645
884	4924	639
885	4930	634
886	4935	628
887	4940	623
888	4946	617
889	4950	611
890	4956	606
891	4961	600
892	4966	595
893	4973	589
894	4979	584
895	4984	578
896	4990	573
897	4996	567
898	5001	561
899	5007	556
900	5012	550
901	5017	545
902	5022	539
903	5027	533
904	5032	528
905	5037	522
906	5043	517
907	5047	511
908	5052	505
909	5058	500
910	5063	494
911	5069	489
912	5074	483
913	5079	477
914	5083	472
915	5089	466
916	5094	461
917	5098	455
918	5104	449
919	5109	444
920	5113	438
921	5119	433
922	5124	427
923	5129	421
924	5134	416
925	5140	410
926	5144	405
927	5149	399
928	5157	394
929	5161	388
930	5167	382
931	5172	377
932	5177	371
933	5183	366
934	5189	360
935	5193	355
936	5199	349
937	5204	343
938	5208	338
939	5212	332
940	5218	327
941	5224	321
942	5229	316
943	5234	310
944	5241	305
945	5246	299
946	5252	293
947	5258	288
948	5263	282
949	5268	277
950	5273	271
951	5278	266
952	5283	260
953	5289	255
954	5293	249
955	5299	243
956	5305	238
957	5309	232
958	5315	227
959	5321	221
960	5325	216
961	5331	210
962	5336	205
963	5340	199
964	5346	193
965	5353	188
966	5357	182
967	5363	177
968	5368	171
969	5372	166
970	5377	160
971	5382	155
972	5387	149
973	5391	143
974	5397	138
975	5401	132
976	5406	127
977	5412	121
978	5417	116
979	5422	110
980	5428	105
981	5433	99
982	5437	94
983	5444	88
984	5448	82
985	5454	77
986	5460	71
987	5465	66
988	5470	60
989	5477	55
990	5481	49
991	5486	44
992	5491	38
993	5496	33
994	5501	27
995	5506	22
996	5511	16
997	5516	11
998	5521	5
999	5527	0
