iter	RMSE
0	3731.064023
1	3493.179214
2	3270.757983
3	3073.224864
4	2881.455511
5	2710.099184
6	2550.151235
7	2406.739106
8	2271.406216
9	2147.644626
10	2034.548355
11	1931.400842
12	1831.14866
13	1742.307153
14	1663.210322
15	1586.259746
16	1518.577448
17	1453.144883
18	1396.599353
19	1345.361153
20	1294.345399
21	1248.311025
22	1204.63114
23	1167.976623
24	1132.842628
25	1099.304612
26	1070.452976
27	1040.798591
28	1015.142805
29	989.5887645
30	967.4143279
31	945.532451
32	928.8943223
33	910.4760858
34	890.8815917
35	873.9323598
36	859.3556573
37	844.700532
38	830.3099952
39	819.3217664
40	805.9548426
41	796.2289578
42	785.6160951
43	778.065445
44	768.2114271
45	760.9319658
46	754.050786
47	747.1857813
48	740.4694079
49	735.3443732
50	729.1606826
51	723.7526834
52	718.0762824
53	713.1820511
54	709.4803494
55	705.796549
56	700.7654106
57	697.4780987
58	693.6624452
59	688.1713378
60	685.4884092
61	682.4524549
62	678.2941299
63	674.359778
64	670.5563991
65	668.1299258
66	665.5544838
67	663.4836071
68	661.3683593
69	658.7616842
70	656.8595217
71	654.2297823
72	651.6397711
73	648.7330952
74	646.4655226
75	644.4970038
76	642.32651
77	641.050161
78	639.8194735
79	636.9902576
80	634.1688319
81	631.6767379
82	630.878739
83	629.1950611
84	627.922514
85	626.7985135
86	625.6008282
87	624.3940968
88	623.4251272
89	622.4780729
90	621.3960716
91	618.9961658
92	616.568379
93	615.5592753
94	614.5379268
95	613.8100374
96	612.6041843
97	611.565372
98	609.9356263
99	608.6542762
100	605.693558
101	605.008775
102	603.4703146
103	602.8302884
104	602.0984499
105	599.7309951
106	598.9884007
107	598.1246952
108	595.7435277
109	594.466191
110	593.6077063
111	592.6626077
112	591.6296145
113	590.7680621
114	589.3776223
115	587.4597752
116	586.2081661
117	585.6858901
118	584.1396047
119	583.1236603
120	582.3569931
121	581.7414866
122	580.8265266
123	580.1919223
124	579.500832
125	579.0607566
126	578.2227354
127	577.8846722
128	576.6209643
129	576.2217503
130	574.6496932
131	574.255779
132	572.8984386
133	572.1753622
134	571.4537029
135	570.6722304
136	570.4197743
137	568.936082
138	567.6717585
139	566.7979379
140	565.9410422
141	565.3209902
142	564.7319576
143	564.1878864
144	563.9083656
145	563.1998049
146	562.1908004
147	561.8007322
148	561.4500503
149	561.0954295
150	560.7468805
151	559.8946183
152	559.5724178
153	558.9714746
154	558.4097937
155	557.9080497
156	557.2445457
157	556.7566593
158	556.3445944
159	555.8599296
160	554.9908983
161	554.4804149
162	554.2158955
163	553.7662659
164	553.3144562
165	552.8953268
166	552.1471809
167	551.9137133
168	551.5919315
169	551.2998436
170	550.8189486
171	550.4913129
172	549.8319685
173	549.4057434
174	549.0116426
175	548.7079967
176	548.3675242
177	547.7741986
178	547.4458911
179	547.2578402
180	547.1109833
181	546.9941717
182	546.621514
183	546.4077673
184	546.0879008
185	545.7211483
186	545.3130903
187	545.0352351
188	544.7027058
189	544.2912696
190	544.1444031
191	543.7897722
192	543.5487546
193	543.3459987
194	542.9465289
195	542.0470212
196	541.7536061
197	541.2833623
198	540.6912379
199	540.5001679
200	540.1966524
201	539.874719
202	539.5890066
203	538.8032736
204	538.5908169
205	538.332391
206	538.1398335
207	537.7370506
208	537.3099009
209	536.9426797
210	536.2534662
211	536.1503467
212	535.7683004
213	535.7048677
214	535.4328523
215	534.8573305
216	534.33628
217	533.7255469
218	533.3987168
219	532.9236182
220	532.6627818
221	532.5214301
222	532.4041603
223	532.2098377
224	531.9758468
225	531.2990807
226	531.0569353
227	530.8339839
228	530.5287965
229	530.2506972
230	530.1833996
231	529.9265053
232	529.5078666
233	529.1614624
234	528.897118
235	528.341049
236	528.3309374
237	528.1072273
238	527.9220921
239	527.8478273
240	527.7685279
241	527.2247962
242	526.9016998
243	526.7128004
244	526.5180355
245	526.2902225
246	526.1600089
247	525.7831908
248	525.4843958
249	524.9944123
250	524.7361612
251	524.5370286
252	524.1024579
253	523.943192
254	523.5524835
255	523.4810052
256	523.4412771
257	522.9731887
258	522.7339176
259	522.6695863
260	522.2927757
261	522.1111589
262	521.7075325
263	521.2491858
264	521.0653802
265	520.8745162
266	520.5653902
267	520.2500006
268	519.957107
269	519.5466521
270	519.3120459
271	519.0952177
272	518.8931148
273	518.5654381
274	518.5064029
275	518.2492434
276	517.9485228
277	517.943286
278	517.6549979
279	517.5365688
280	517.2788866
281	517.1034225
282	516.9539596
283	516.6572823
284	516.6235495
285	516.446207
286	516.1327686
287	516.0255892
288	515.8397526
289	515.4717501
290	515.2985626
291	515.1893694
292	515.0626196
293	514.7156081
294	514.5466822
295	514.2770303
296	513.9715694
297	513.7168207
298	513.4797717
299	513.3432129
300	513.2414268
301	512.8955991
302	512.8778981
303	512.6010551
304	512.38117
305	512.1541988
306	511.8664542
307	511.7652047
308	511.6123306
309	511.308527
310	511.1091624
311	510.8843542
312	510.7037587
313	510.372867
314	510.145136
315	509.9103833
316	509.8055537
317	509.4899691
318	509.2182589
319	509.2138089
320	509.0596168
321	509.0554964
322	508.9772849
323	508.6931608
324	508.3779748
325	508.1575929
326	508.0132692
327	507.9589654
328	507.6932021
329	507.4266423
330	507.2584211
331	506.9279356
332	506.7774789
333	506.5812816
334	506.5119412
335	506.2578801
336	506.0341107
337	505.8689429
338	505.7203813
339	505.6623724
340	505.659387
341	505.4012698
342	505.0869395
343	504.7487861
344	504.5538341
345	504.3017481
346	504.176879
347	504.0296786
348	503.839266
349	503.552496
350	503.549639
351	503.2987534
352	502.9987131
353	502.9516573
354	502.6902255
355	502.5576156
356	502.4976256
357	502.3077266
358	502.0663321
359	501.8406489
360	501.7974809
361	501.5846096
362	501.3378784
363	501.1977347
364	501.0035141
365	500.6091145
366	500.4022578
367	500.1125949
368	499.959252
369	499.8062965
370	499.7651866
371	499.7141185
372	499.4434225
373	499.3382407
374	499.1373411
375	498.9322839
376	498.7871486
377	498.598679
378	498.5607722
379	498.2922148
380	498.1139696
381	498.1113155
382	497.8084167
383	497.5574067
384	497.3265641
385	497.0822742
386	496.9478574
387	496.9125086
388	496.8791417
389	496.7656057
390	496.6390566
391	496.493154
392	496.4630919
393	496.2937295
394	496.1157215
395	496.012635
396	495.8741855
397	495.7218995
398	495.6200463
399	495.505935
400	495.3543122
401	495.1860711
402	494.9402805
403	494.8567011
404	494.6759302
405	494.5698753
406	494.3435812
407	494.2117756
408	494.1677123
409	493.9809758
410	493.7529733
411	493.6529721
412	493.4130985
413	493.2956149
414	493.0932704
415	492.9179428
416	492.6995018
417	492.5180772
418	492.3187164
419	492.2161049
420	492.0670222
421	491.8961074
422	491.7731168
423	491.6567153
424	491.5782888
425	491.3814805
426	491.1475899
427	490.9321412
428	490.8041207
429	490.6182069
430	490.341285
431	490.1489087
432	489.9994683
433	489.7494182
434	489.5490257
435	489.4480403
436	489.2504664
437	489.1477471
438	489.0031812
439	488.8170601
440	488.5566942
441	488.3119917
442	488.2124813
443	488.0856506
444	487.8257599
445	487.5941799
446	487.56548
447	487.4900972
448	487.387922
449	487.1991761
450	486.9630934
451	486.8472744
452	486.6110473
453	486.4267987
454	486.3938699
455	486.2608248
456	486.0405815
457	485.7781141
458	485.6870962
459	485.5886686
460	485.3806413
461	485.3785646
462	485.1560141
463	485.0549976
464	484.8928428
465	484.8768743
466	484.7106412
467	484.7087439
468	484.5860629
469	484.4926133
470	484.4907894
471	484.3333425
472	484.3280509
473	484.3263778
474	484.3247737
475	484.0737051
476	484.045111
477	484.0435705
478	483.8006361
479	483.7901513
480	483.7512891
481	483.5353379
482	483.3608179
483	483.3560523
484	483.2282222
485	483.0036972
486	482.9090577
487	482.7562048
488	482.7001651
489	482.5463184
490	482.4917606
491	482.3011559
492	482.28887
493	482.2070023
494	482.0242547
495	481.899743
496	481.7103567
497	481.6360337
498	481.4930057
499	481.2782562
500	481.1091583
501	481.0406887
502	481.0154932
503	481.0140628
504	480.8383048
505	480.7583096
506	480.6273771
507	480.5723604
508	480.3947854
509	480.2404197
510	480.0169295
511	479.9299508
512	479.7149755
513	479.6261767
514	479.6040636
515	479.4805153
516	479.3319815
517	479.2727436
518	479.270931
519	479.1758117
520	479.0546183
521	479.0511093
522	478.8853061
523	478.8339659
524	478.6923923
525	478.6567322
526	478.5990628
527	478.5131621
528	478.3150229
529	478.165643
530	477.9539536
531	477.8861257
532	477.8077471
533	477.8060275
534	477.7639196
535	477.5598763
536	477.3368399
537	477.2392563
538	477.0801804
539	476.956713
540	476.8493127
541	476.7595058
542	476.6250215
543	476.5116111
544	476.4382386
545	476.40019
546	476.3832881
547	476.2218057
548	476.0855638
549	475.9822447
550	475.869328
551	475.6842747
552	475.5535916
553	475.5217848
554	475.4196474
555	475.325865
556	475.2442918
557	475.1749701
558	474.965481
559	474.8016927
560	474.6980089
561	474.5929073
562	474.5914894
563	474.4699624
564	474.356204
565	474.287782
566	474.1733712
567	474.1719998
568	474.0851789
569	474.0706192
570	473.925683
571	473.7305749
572	473.5825783
573	473.4372869
574	473.3218395
575	473.2859182
576	473.1922786
577	473.137836
578	473.0691677
579	472.8897078
580	472.7934212
581	472.6664342
582	472.5852455
583	472.4544836
584	472.4342444
585	472.2837634
586	472.1829692
587	472.0344953
588	471.936133
589	471.7568744
590	471.6380972
591	471.636355
592	471.4686462
593	471.3472182
594	471.2164946
595	471.1984147
596	471.0297424
597	470.9025081
598	470.8455594
599	470.6933403
600	470.6357304
601	470.5608529
602	470.5297405
603	470.3464368
604	470.318967
605	470.1975588
606	470.1784796
607	470.1093504
608	470.0328589
609	469.9093897
610	469.7922595
611	469.7707122
612	469.7473552
613	469.7304707
614	469.6158273
615	469.6145639
616	469.4759184
617	469.4179319
618	469.3428056
619	469.2241611
620	469.1134776
621	469.0986908
622	469.0851144
623	468.9871285
624	468.9594658
625	468.9366051
626	468.7834165
627	468.7120018
628	468.6448123
629	468.5303363
630	468.4466862
631	468.3293665
632	468.295525
633	468.2321184
634	468.1113601
635	468.1002338
636	468.0815024
637	468.0695003
638	468.0535989
639	467.8903251
640	467.7779331
641	467.6876284
642	467.5850692
643	467.5543075
644	467.4705886
645	467.3991551
646	467.3687227
647	467.1441002
648	467.0290041
649	467.0007761
650	466.9602343
651	466.8723311
652	466.7779114
653	466.7070986
654	466.6219997
655	466.4931401
656	466.4369892
657	466.2991576
658	466.1885549
659	466.0577154
660	465.9214872
661	465.8663493
662	465.8134101
663	465.7710444
664	465.7238649
665	465.6413629
666	465.6132833
667	465.4997562
668	465.2532317
669	465.0843815
670	465.0114617
671	464.9394674
672	464.8819238
673	464.7788078
674	464.7148222
675	464.58816
676	464.4829243
677	464.3364488
678	464.2571746
679	464.2060459
680	464.0693218
681	464.0085075
682	463.8949596
683	463.7815695
684	463.6828883
685	463.6200176
686	463.5283365
687	463.4425647
688	463.2446013
689	463.1596947
690	463.1048294
691	463.0640821
692	462.9974345
693	462.8170493
694	462.7705206
695	462.6695839
696	462.5712788
697	462.4304434
698	462.3319337
699	462.2630104
700	462.1077166
701	461.9314544
702	461.8273904
703	461.7293983
704	461.52742
705	461.3837094
706	461.2619268
707	461.1486567
708	461.1259694
709	461.1051425
710	461.0179254
711	461.0169046
712	461.0159276
713	460.9249514
714	460.7668051
715	460.6860569
716	460.5518211
717	460.5485328
718	460.5361927
719	460.4277129
720	460.3513664
721	460.2759037
722	460.186946
723	460.0009693
724	459.975849
725	459.9165415
726	459.9066609
727	459.8234107
728	459.698803
729	459.592997
730	459.5268548
731	459.4134815
732	459.3558354
733	459.2596776
734	459.1673946
735	459.0318039
736	458.8621957
737	458.8011763
738	458.6713473
739	458.5995456
740	458.5416357
741	458.3841068
742	458.3201082
743	458.2962758
744	458.2449053
745	458.2022067
746	458.1192879
747	458.0020588
748	457.9093931
749	457.7888299
750	457.7220145
751	457.5997416
752	457.4185949
753	457.3621022
754	457.3129285
755	457.1252636
756	456.9988906
757	456.9073055
758	456.8123672
759	456.7909696
760	456.7040524
761	456.6602181
762	456.5853047
763	456.4541198
764	456.4077245
765	456.2902164
766	456.2241015
767	456.1061264
768	456.0421223
769	455.9963299
770	455.8997853
771	455.7647602
772	455.6372877
773	455.5852915
774	455.4350965
775	455.2826564
776	455.250393
777	455.2175598
778	455.0944983
779	455.0470633
780	455.0290188
781	454.9364655
782	454.8354036
783	454.7300984
784	454.5897379
785	454.5202054
786	454.3432812
787	454.2980793
788	454.1512677
789	454.0282086
790	453.8789854
791	453.8332267
792	453.7481504
793	453.648657
794	453.5467412
795	453.4954633
796	453.3890891
797	453.3325102
798	453.2205939
799	453.1162161
800	452.9777926
801	452.8202763
802	452.7597529
803	452.7042178
804	452.5704696
805	452.4549465
806	452.3083276
807	452.2542356
808	452.1295622
809	452.1026236
810	452.0232473
811	451.866869
812	451.8418368
813	451.6384012
814	451.4819597
815	451.4114834
816	451.3601697
817	451.329565
818	451.2451023
819	451.1201355
820	451.0344457
821	451.0175847
822	450.9191581
823	450.8744245
824	450.8097366
